cbsa,city_name,date,venturedensity,highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc_1619,pct_black,pct_hisp,pct_native,pct_asian,pct_pacific,pct_white
10500,"Albany, GA",2019q1,1.1249144,.230515256524086,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2020q1,1.1275462,.2491801530122757,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2019q2,1.1203041,.2329977303743362,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2020q2,1.1666584,.2443164438009262,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2019q3,1.1164031,.2365441173315048,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2020q3,1.2473403,.2316818088293076,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2018q4,.9769184,.2311354796945177,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2019q4,1.122432,.3516244292259216,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10500,"Albany, GA",2020q4,1.3499136,.2213655412197113,19.6384499669075,27.875057,8.2366076,38674,40612,42861,44844,6170,53.336792,2.7890809,.18324396,1.3595085,.031663477,40.87014
10540,"Albany-Lebanon, OR",2019q1,3.4926174,.7671141028404236,51.34278213977814,47.041363,-4.3014193,46782,49515,52097,55893,9111,.49261084,9.1109018,.70692855,1.0475978,.09836223,84.913795
10540,"Albany-Lebanon, OR",2020q1,3.5845637,.846308708190918,51.34278213977814,47.041363,-4.3014193,46782,49515,52097,55893,9111,.49261084,9.1109018,.70692855,1.0475978,.09836223,84.913795
10540,"Albany-Lebanon, OR",2019q2,3.5550337,.7771812081336975,51.34278213977814,47.041363,-4.3014193,46782,49515,52097,55893,9111,.49261084,9.1109018,.70692855,1.0475978,.09836223,84.913795
10540,"Albany-Lebanon, OR",2020q2,3.6152124,.8355704545974731,51.34278213977814,47.041363,-4.3014193,46782,49515,52097,55893,9111,.49261084,9.1109018,.70692855,1.0475978,.09836223,84.913795
10540,"Albany-Lebanon, OR",2019q3,3.5912752,.8167785406112671,51.34278213977814,47.041363,-4.3014193,46782,49515,52097,55893,9111,.49261084,9.1109018,.70692855,1.0475978,.09836223,84.913795
